PMCID,Title,Abstract,ID,Inclusion
PMC3637864,Dynamic regulatory network controlling TH17 cell differentiation.,"Despite their importance, the molecular circuits that control the differentiation of naive T cells remain largely unknown. Recent studies that reconstructed regulatory networks in mammalian cells have focused on short-term responses and relied on perturbation-based approaches that cannot be readily applied to primary T cells. Here we combine transcriptional profiling at high temporal resolution, novel computational algorithms, and innovative nanowire-based perturbation tools to systematically derive and experimentally validate a model of the dynamic regulatory network that controls the differentiation of mouse TH17 cells, a proinflammatory T-cell subset that has been implicated in the pathogenesis of multiple autoimmune diseases. The TH17 transcriptional network consists of two self-reinforcing, but mutually antagonistic, modules, with 12 novel regulators, the coupled action of which may be essential for maintaining the balance between TH17 and other CD4(+) T-cell subsets. Our study identifies and validates 39 regulatory factors, embeds them within a comprehensive temporal network and reveals its organizational principles; it also highlights novel drug targets for controlling TH17 cell differentiation.            ",NPG090,1
PMC4465385,Blocking PGE2-induced tumour repopulation abrogates bladder cancer chemoresistance.,"Cytotoxic chemotherapy is effective in debulking tumour masses initially; however, in some patients tumours become progressively unresponsive after multiple treatment cycles. Previous studies have demonstrated that cancer stem cells (CSCs) are selectively enriched after chemotherapy through enhanced survival. Here we reveal a new mechanism by which bladder CSCs actively contribute to therapeutic resistance via an unexpected proliferative response to repopulate residual tumours between chemotherapy cycles, using human bladder cancer xenografts. Further analyses demonstrate the recruitment of a quiescent label-retaining pool of CSCs into cell division in response to chemotherapy-induced damages, similar to mobilization of normal stem cells during wound repair. While chemotherapy effectively induces apoptosis, associated prostaglandin E2 (PGE2) release paradoxically promotes neighbouring CSC repopulation. This repopulation can be abrogated by a PGE2-neutralizing antibody and celecoxib drug-mediated blockade of PGE2 signalling. In vivo administration of the cyclooxygenase-2 (COX2) inhibitor celecoxib effectively abolishes a PGE2- and COX2-mediated wound response gene signature, and attenuates progressive manifestation of chemoresistance in xenograft tumours, including primary xenografts derived from a patient who was resistant to chemotherapy. Collectively, these findings uncover a new underlying mechanism that models the progressive development of clinical chemoresistance, and implicate an adjunctive therapy to enhance chemotherapeutic response of bladder urothelial carcinomas by abrogating early tumour repopulation.             ",NPG100,1
PMC4292871,Rapid modelling of cooperating genetic events in cancer through somatic genome editing.,"Cancer is a multistep process that involves mutations and other alterations in oncogenes and tumour suppressor genes. Genome sequencing studies have identified a large collection of genetic alterations that occur in human cancers. However, the determination of which mutations are causally related to tumorigenesis remains a major challenge. Here we describe a novel CRISPR/Cas9-based approach for rapid functional investigation of candidate genes in well-established autochthonous mouse models of cancer. Using a Kras(G12D)-driven lung cancer model, we performed functional characterization of a panel of tumour suppressor genes with known loss-of-function alterations in human lung cancer. Cre-dependent somatic activation of oncogenic Kras(G12D) combined with CRISPR/Cas9-mediated genome editing of tumour suppressor genes resulted in lung adenocarcinomas with distinct histopathological and molecular features. This rapid somatic genome engineering approach enables functional characterization of putative cancer genes in the lung and other tissues using autochthonous mouse models. We anticipate that this approach can be used to systematically dissect the complex catalogue of mutations identified in cancer genome sequencing studies.            ",NPG104,1
PMC3606692,Differential stem- and progenitor-cell trafficking by prostaglandin E2.,"To maintain lifelong production of blood cells, haematopoietic stem cells (HSCs) are tightly regulated by inherent programs and extrinsic regulatory signals received from their microenvironmental niche. Long-term repopulating HSCs reside in several, perhaps overlapping, niches that produce regulatory molecules and signals necessary for homeostasis and for increased output after stress or injury. Despite considerable advances in the specific cellular or molecular mechanisms governing HSC-niche interactions, little is known about the regulatory function in the intact mammalian haematopoietic niche. Recently, we and others described a positive regulatory role for prostaglandin E2 (PGE2) on HSC function ex vivo. Here we show that inhibition of endogenous PGE2 by non-steroidal anti-inflammatory drug (NSAID) treatment in mice results in modest HSC egress from the bone marrow. Surprisingly, this was independent of the SDF-1-CXCR4 axis implicated in stem-cell migration. Stem and progenitor cells were found to have differing mechanisms of egress, with HSC transit to the periphery dependent on niche attenuation and reduction in the retentive molecule osteopontin. Haematopoietic grafts mobilized with NSAIDs had superior repopulating ability and long-term engraftment. Treatment of non-human primates and healthy human volunteers confirmed NSAID-mediated egress in other species. PGE2 receptor knockout mice demonstrated that progenitor expansion and stem/progenitor egress resulted from reduced E-prostanoid 4 (EP4) receptor signalling. These results not only uncover unique regulatory roles for EP4 signalling in HSC retention in the niche, but also define a rapidly translatable strategy to enhance transplantation therapeutically.            ",NPG111,1
PMC3753229,Studying arrhythmogenic right ventricular dysplasia with patient-specific iPSCs.,"Cellular reprogramming of somatic cells to patient-specific induced pluripotent stem cells (iPSCs) enables in vitro modelling of human genetic disorders for pathogenic investigations and therapeutic screens. However, using iPSC-derived cardiomyocytes (iPSC-CMs) to model an adult-onset heart disease remains challenging owing to the uncertainty regarding the ability of relatively immature iPSC-CMs to fully recapitulate adult disease phenotypes. Arrhythmogenic right ventricular dysplasia/cardiomyopathy (ARVD/C) is an inherited heart disease characterized by pathological fatty infiltration and cardiomyocyte loss predominantly in the right ventricle, which is associated with life-threatening ventricular arrhythmias. Over 50% of affected individuals have desmosome gene mutations, most commonly in PKP2, encoding plakophilin-2 (ref. 9). The median age at presentation of ARVD/C is 26 years. We used previously published methods to generate iPSC lines from fibroblasts of two patients with ARVD/C and PKP2 mutations. Mutant PKP2 iPSC-CMs demonstrate abnormal plakoglobin nuclear translocation and decreased β-catenin activity in cardiogenic conditions; yet, these abnormal features are insufficient to reproduce the pathological phenotypes of ARVD/C in standard cardiogenic conditions. Here we show that induction of adult-like metabolic energetics from an embryonic/glycolytic state and abnormal peroxisome proliferator-activated receptor gamma (PPAR-γ) activation underlie the pathogenesis of ARVD/C. By co-activating normal PPAR-alpha-dependent metabolism and abnormal PPAR-γ pathway in beating embryoid bodies (EBs) with defined media, we established an efficient ARVD/C in vitro model within 2 months. This model manifests exaggerated lipogenesis and apoptosis in mutant PKP2 iPSC-CMs. iPSC-CMs with a homozygous PKP2 mutation also had calcium-handling deficits. Our study is the first to demonstrate that induction of adult-like metabolism has a critical role in establishing an adult-onset disease model using patient-specific iPSCs. Using this model, we revealed crucial pathogenic insights that metabolic derangement in adult-like metabolic milieu underlies ARVD/C pathologies, enabling us to propose novel disease-modifying therapeutic strategies.            ",NPG126,1
PMC4353651,RNA regulons in Hox 5' UTRs confer ribosome specificity to gene regulation.,"Emerging evidence suggests that the ribosome has a regulatory function in directing how the genome is translated in time and space. However, how this regulation is encoded in the messenger RNA sequence remains largely unknown. Here we uncover unique RNA regulons embedded in homeobox (Hox) 5' untranslated regions (UTRs) that confer ribosome-mediated control of gene expression. These structured RNA elements, resembling viral internal ribosome entry sites (IRESs), are found in subsets of Hox mRNAs. They facilitate ribosome recruitment and require the ribosomal protein RPL38 for their activity. Despite numerous layers of Hox gene regulation, these IRES elements are essential for converting Hox transcripts into proteins to pattern the mammalian body plan. This specialized mode of IRES-dependent translation is enabled by an additional regulatory element that we term the translation inhibitory element (TIE), which blocks cap-dependent translation of transcripts. Together, these data uncover a new paradigm for ribosome-mediated control of gene expression and organismal development.             ",NPG136,1
PMC3788641,Identification of a candidate therapeutic autophagy-inducing peptide.,"The lysosomal degradation pathway of autophagy has a crucial role in defence against infection, neurodegenerative disorders, cancer and ageing. Accordingly, agents that induce autophagy may have broad therapeutic applications. One approach to developing such agents is to exploit autophagy manipulation strategies used by microbial virulence factors. Here we show that a peptide, Tat-beclin 1-derived from a region of the autophagy protein, beclin 1, which binds human immunodeficiency virus (HIV)-1 Nef-is a potent inducer of autophagy, and interacts with a newly identified negative regulator of autophagy, GAPR-1 (also called GLIPR2). Tat-beclin 1 decreases the accumulation of polyglutamine expansion protein aggregates and the replication of several pathogens (including HIV-1) in vitro, and reduces mortality in mice infected with chikungunya or West Nile virus. Thus, through the characterization of a domain of beclin 1 that interacts with HIV-1 Nef, we have developed an autophagy-inducing peptide that has potential efficacy in the treatment of human diseases.            ",NPG144,1
PMC4255242,Ischaemic accumulation of succinate controls reperfusion injury through mitochondrial ROS.,"Ischaemia-reperfusion injury occurs when the blood supply to an organ is disrupted and then restored, and underlies many disorders, notably heart attack and stroke. While reperfusion of ischaemic tissue is essential for survival, it also initiates oxidative damage, cell death and aberrant immune responses through the generation of mitochondrial reactive oxygen species (ROS). Although mitochondrial ROS production in ischaemia reperfusion is established, it has generally been considered a nonspecific response to reperfusion. Here we develop a comparative in vivo metabolomic analysis, and unexpectedly identify widely conserved metabolic pathways responsible for mitochondrial ROS production during ischaemia reperfusion. We show that selective accumulation of the citric acid cycle intermediate succinate is a universal metabolic signature of ischaemia in a range of tissues and is responsible for mitochondrial ROS production during reperfusion. Ischaemic succinate accumulation arises from reversal of succinate dehydrogenase, which in turn is driven by fumarate overflow from purine nucleotide breakdown and partial reversal of the malate/aspartate shuttle. After reperfusion, the accumulated succinate is rapidly re-oxidized by succinate dehydrogenase, driving extensive ROS generation by reverse electron transport at mitochondrial complex I. Decreasing ischaemic succinate accumulation by pharmacological inhibition is sufficient to ameliorate in vivo ischaemia-reperfusion injury in murine models of heart attack and stroke. Thus, we have identified a conserved metabolic response of tissues to ischaemia and reperfusion that unifies many hitherto unconnected aspects of ischaemia-reperfusion injury. Furthermore, these findings reveal a new pathway for metabolic control of ROS production in vivo, while demonstrating that inhibition of ischaemic succinate accumulation and its oxidation after subsequent reperfusion is a potential therapeutic target to decrease ischaemia-reperfusion injury in a range of pathologies.             ",NPG154,1
PMC4268317,An evolutionary arms race between KRAB zinc-finger genes ZNF91/93 and SVA/L1 retrotransposons.,"Throughout evolution primate genomes have been modified by waves of retrotransposon insertions. For each wave, the host eventually finds a way to repress retrotransposon transcription and prevent further insertions. In mouse embryonic stem cells, transcriptional silencing of retrotransposons requires KAP1 (also known as TRIM28) and its repressive complex, which can be recruited to target sites by KRAB zinc-finger (KZNF) proteins such as murine-specific ZFP809 which binds to integrated murine leukaemia virus DNA elements and recruits KAP1 to repress them. KZNF genes are one of the fastest growing gene families in primates and this expansion is hypothesized to enable primates to respond to newly emerged retrotransposons. However, the identity of KZNF genes battling retrotransposons currently active in the human genome, such as SINE-VNTR-Alu (SVA) and long interspersed nuclear element 1 (L1), is unknown. Here we show that two primate-specific KZNF genes rapidly evolved to repress these two distinct retrotransposon families shortly after they began to spread in our ancestral genome. ZNF91 underwent a series of structural changes 8-12 million years ago that enabled it to repress SVA elements. ZNF93 evolved earlier to repress the primate L1 lineage until ∼12.5 million years ago when the L1PA3-subfamily of retrotransposons escaped ZNF93's restriction through the removal of the ZNF93-binding site. Our data support a model where KZNF gene expansion limits the activity of newly emerged retrotransposon classes, and this is followed by mutations in these retrotransposons to evade repression, a cycle of events that could explain the rapid expansion of lineage-specific KZNF genes.             ",NPG169,1
PMC4305340,Glutathione activates virulence gene expression of an intracellular pathogen.,"Intracellular pathogens are responsible for much of the world-wide morbidity and mortality due to infectious diseases. To colonize their hosts successfully, pathogens must sense their environment and regulate virulence gene expression appropriately. Accordingly, on entry into mammalian cells, the facultative intracellular bacterial pathogen Listeria monocytogenes remodels its transcriptional program by activating the master virulence regulator PrfA. Here we show that bacterial and host-derived glutathione are required to activate PrfA. In this study a genetic selection led to the identification of a bacterial mutant in glutathione synthase that exhibited reduced virulence gene expression and was attenuated 150-fold in mice. Genome sequencing of suppressor mutants that arose spontaneously in vivo revealed a single nucleotide change in prfA that locks the protein in the active conformation (PrfA*) and completely bypassed the requirement for glutathione during infection. Biochemical and genetic studies support a model in which glutathione-dependent PrfA activation is mediated by allosteric binding of glutathione to PrfA. Whereas glutathione and other low-molecular-weight thiols have important roles in redox homeostasis in all forms of life, here we demonstrate that glutathione represents a critical signalling molecule that activates the virulence of an intracellular pathogen.             ",NPG188,1
PMC5278765,An alternative pluripotent state confers interspecies chimaeric competency.,"Pluripotency, the ability to generate any cell type of the body, is an evanescent attribute of embryonic cells. Transitory pluripotent cells can be captured at different time points during embryogenesis and maintained as embryonic stem cells or epiblast stem cells in culture. Since ontogenesis is a dynamic process in both space and time, it seems counterintuitive that these two temporal states represent the full spectrum of organismal pluripotency. Here we show that by modulating culture parameters, a stem-cell type with unique spatial characteristics and distinct molecular and functional features, designated as region-selective pluripotent stem cells (rsPSCs), can be efficiently obtained from mouse embryos and primate pluripotent stem cells, including humans. The ease of culturing and editing the genome of human rsPSCs offers advantages for regenerative medicine applications. The unique ability of human rsPSCs to generate post-implantation interspecies chimaeric embryos may facilitate our understanding of early human development and evolution.             ",NPG190,1
PMC3746493,Sodium chloride drives autoimmune disease by the induction of pathogenic TH17 cells.,"There has been a marked increase in the incidence of autoimmune diseases in the past half-century. Although the underlying genetic basis of this class of diseases has recently been elucidated, implicating predominantly immune-response genes, changes in environmental factors must ultimately be driving this increase. The newly identified population of interleukin (IL)-17-producing CD4(+) helper T cells (TH17 cells) has a pivotal role in autoimmune diseases. Pathogenic IL-23-dependent TH17 cells have been shown to be critical for the development of experimental autoimmune encephalomyelitis (EAE), an animal model for multiple sclerosis, and genetic risk factors associated with multiple sclerosis are related to the IL-23-TH17 pathway. However, little is known about the environmental factors that directly influence TH17 cells. Here we show that increased salt (sodium chloride, NaCl) concentrations found locally under physiological conditions in vivo markedly boost the induction of murine and human TH17 cells. High-salt conditions activate the p38/MAPK pathway involving nuclear factor of activated T cells 5 (NFAT5; also called TONEBP) and serum/glucocorticoid-regulated kinase 1 (SGK1) during cytokine-induced TH17 polarization. Gene silencing or chemical inhibition of p38/MAPK, NFAT5 or SGK1 abrogates the high-salt-induced TH17 cell development. The TH17 cells generated under high-salt conditions display a highly pathogenic and stable phenotype characterized by the upregulation of the pro-inflammatory cytokines GM-CSF, TNF-α and IL-2. Moreover, mice fed with a high-salt diet develop a more severe form of EAE, in line with augmented central nervous system infiltrating and peripherally induced antigen-specific TH17 cells. Thus, increased dietary salt intake might represent an environmental risk factor for the development of autoimmune diseases through the induction of pathogenic TH17 cells.            ",NPG194,1
PMC4380172,Piezo2 is the major transducer of mechanical forces for touch sensation in mice.,"The sense of touch provides critical information about our physical environment by transforming mechanical energy into electrical signals. It is postulated that mechanically activated cation channels initiate touch sensation, but the identity of these molecules in mammals has been elusive. Piezo2 is a rapidly adapting, mechanically activated ion channel expressed in a subset of sensory neurons of the dorsal root ganglion and in cutaneous mechanoreceptors known as Merkel-cell-neurite complexes. It has been demonstrated that Merkel cells have a role in vertebrate mechanosensation using Piezo2, particularly in shaping the type of current sent by the innervating sensory neuron; however, major aspects of touch sensation remain intact without Merkel cell activity. Here we show that mice lacking Piezo2 in both adult sensory neurons and Merkel cells exhibit a profound loss of touch sensation. We precisely localize Piezo2 to the peripheral endings of a broad range of low-threshold mechanoreceptors that innervate both hairy and glabrous skin. Most rapidly adapting, mechanically activated currents in dorsal root ganglion neuronal cultures are absent in Piezo2 conditional knockout mice, and ex vivo skin nerve preparation studies show that the mechanosensitivity of low-threshold mechanoreceptors strongly depends on Piezo2. This cellular phenotype correlates with an unprecedented behavioural phenotype: an almost complete deficit in light-touch sensation in multiple behavioural assays, without affecting other somatosensory functions. Our results highlight that a single ion channel that displays rapidly adapting, mechanically activated currents in vitro is responsible for the mechanosensitivity of most low-threshold mechanoreceptor subtypes involved in innocuous touch sensation. Notably, we find that touch and pain sensation are separable, suggesting that as-yet-unknown mechanically activated ion channel(s) must account for noxious (painful) mechanosensation.             ",NPG199,1
